libdwarf,c,fuzz_die_cu_e fuzz_rng fuzz_die_cu fuzz_globals fuzz_srcfiles fuzz_stack_frame_access fuzz_xuindex fuzz_macro_dwarf5 fuzz_simplereader_tu fuzz_showsectgrp fuzz_crc_32 fuzz_tie fuzz_debug_addr_access fuzz_die_cu_offset fuzz_str_offsets fuzz_set_frame_all fuzz_debug_str fuzz_die_cu_attrs fuzz_aranges fuzz_die_cu_e_print fuzz_die_cu_print fuzz_macro_dwarf4 fuzz_init_binary fuzz_gnu_index fuzz_init_b fuzz_init_path fuzz_debuglink fuzz_gdbindex fuzz_crc fuzz_findfuncbypc fuzz_dnames fuzz_die_cu_info1 fuzz_die_cu_attrs_loclist
libexif,c++,exif_loader_fuzzer exif_from_data_fuzzer
libfido2,c++,fuzz_bio fuzz_assert fuzz_pcsc fuzz_attobj fuzz_netlink fuzz_credman fuzz_largeblob fuzz_cred fuzz_hid fuzz_mgmt
libgd,c++,gd2_target jpeg_target tiff_target gif_target png_target gd_image_string_fuzzer wbmp_target tga_target webp_target bmp_target gd_target
libheif,c++,encoder_fuzzer file_fuzzer box_fuzzer color_conversion_fuzzer
libhevc,c++,hevc_enc_fuzzer hevc_dec_fuzzer
libical,c++,libical_extended_fuzzer libical_fuzzer
libidn,c++,libidn_stringprep_fuzzer libidn_toascii_fuzzer libidn_tounicode_fuzzer
libidn2,c++,libidn2_register_fuzzer libidn2_to_unicode_8z8z_fuzzer libidn2_to_ascii_8z_fuzzer
libjpeg-turbo,c,compress_yuv_fuzzer_dev libjpeg_turbo_fuzzer_2_1_x compress12_lossless_fuzzer decompress_yuv_fuzzer compress12_fuzzer_dev cjpeg_fuzzer_2_1_x compress12_fuzzer transform_fuzzer_dev cjpeg_fuzzer_dev compress_lossless_fuzzer_dev compress_fuzzer_dev compress_yuv_fuzzer compress16_lossless_fuzzer_dev compress_lossless_fuzzer decompress_yuv_fuzzer_dev compress_yuv_fuzzer_2_1_x transform_fuzzer transform_fuzzer_2_1_x libjpeg_turbo_fuzzer_dev libjpeg_turbo_fuzzer decompress_yuv_fuzzer_2_1_x compress16_lossless_fuzzer compress12_lossless_fuzzer_dev compress_fuzzer cjpeg_fuzzer compress_fuzzer_2_1_x
libjxl,c++,streaming_fuzzer fields_fuzzer transforms_fuzzer rans_fuzzer decode_basic_info_fuzzer color_encoding_fuzzer icc_codec_fuzzer jpegli_dec_fuzzer set_from_bytes_fuzzer djxl_fuzzer cjxl_fuzzer
libldac,c++,libldac_encode_fuzzer
liblouis,c,fuzz_backtranslate table_fuzzer fuzz_translate_generic
libmodbus,c,FuzzServer FuzzClient
libmpeg2,c++,mpeg2_dec_fuzzer
libplist,c++,oplist_fuzzer jplist_fuzzer xplist_fuzzer bplist_fuzzer
libpsl,c++,libpsl_icu_fuzzer libpsl_icu_load_fuzzer libpsl_idn2_load_fuzzer libpsl_idn2_fuzzer libpsl_load_fuzzer libpsl_icu_load_dafsa_fuzzer libpsl_idn_fuzzer libpsl_idn_load_dafsa_fuzzer libpsl_fuzzer libpsl_idn2_load_dafsa_fuzzer libpsl_idn_load_fuzzer libpsl_load_dafsa_fuzzer
libraw,c++,libraw_fuzzer libraw_raf_fuzzer libraw_cr2_fuzzer libraw_nef_fuzzer
